game_id,away,home,away_rank,home_rank,away_score,home_score,date
401575451,North Carolina Central,Kansas,NA,1,56,99,2023-11-06
401576147,Dartmouth,Duke,NA,2,54,92,2023-11-06
401577640,Samford,Purdue,NA,3,45,98,2023-11-06
401581835,James Madison,Michigan State,NA,4,79,76,2023-11-06
401577598,Northern Illinois,Marquette,NA,5,70,92,2023-11-06
401584359,Northern Arizona,UConn,NA,6,52,95,2023-11-06
401575434,UL Monroe,Houston,NA,7,31,84,2023-11-06
401575517,Tennessee Tech,Tennessee,NA,9,42,80,2023-11-06
401600255,Morgan State,Arizona,NA,12,59,122,2023-11-06
401588936,NJIT,Miami,NA,13,60,101,2023-11-06
401594524,Alcorn State,Arkansas,NA,14,59,93,2023-11-06
401575509,Texas A&M-Commerce,Texas A&M,NA,15,46,78,2023-11-06
401588940,New Mexico State,Kentucky,NA,16,46,86,2023-11-06
401597930,Cal State Fullerton,San Diego State,NA,17,57,83,2023-11-06
401583724,Incarnate Word,Texas,NA,18,56,88,2023-11-06
401583596,Radford,North Carolina,NA,19,70,86,2023-11-06
401581588,Kansas State,USC,NA,21,69,82,2023-11-06
401584356,American University,Villanova,NA,22,63,90,2023-11-06
401598037,Stanislaus State,Saint Mary's,NA,23,28,107,2023-11-06
401591429,Morehead State,Alabama,NA,24,73,105,2023-11-06
401584510,Eastern Illinois,Illinois,NA,25,52,80,2023-11-06
401594209,Spalding,IUPUI,NA,NA,63,70,2023-11-06
401610539,Saint Josephs Long Island,Hofstra,NA,NA,48,101,2023-11-06
401591565,Fort Lauderdale,Troy,NA,NA,47,92,2023-11-06
401604410,North American,Stephen F. Austin,NA,NA,68,96,2023-11-06
401598014,Kansas Christian,Prairie View A&M,NA,NA,66,89,2023-11-06
401581587,Georgia,Oregon,NA,NA,71,82,2023-11-06
401602729,Linfield College,Oregon State,NA,NA,46,82,2023-11-06
401589360,John Jay College,Pennsylvania,NA,NA,57,102,2023-11-06
401582016,Rivier,UMass Lowell,NA,NA,51,96,2023-11-06
401611539,Voorhees,South Carolina State,NA,NA,57,65,2023-11-06
401609948,Erskine,Gardner-Webb,NA,NA,58,98,2023-11-06
401604787,Piedmont,Coastal Carolina,NA,NA,86,88,2023-11-06
401604760,Champion Christian,UT Martin,NA,NA,76,104,2023-11-06
401604369,King (TN),East Tennessee State,NA,NA,56,73,2023-11-06
401602669,Mount Olive,UNC Wilmington,NA,NA,66,105,2023-11-06
401600439,Delaware State,Penn State,NA,NA,45,79,2023-11-06
401600231,Trinity Baptist,Stetson,NA,NA,54,109,2023-11-06
401599986,Johnson University Florida,Jacksonville,NA,NA,46,113,2023-11-06
401599586,North Greenville,Furman,NA,NA,68,84,2023-11-06
401597988,Clark Atlanta,Mercer,NA,NA,71,64,2023-11-06
401597920,Malone,Kent State,NA,NA,58,79,2023-11-06
401597899,St. Andrews,High Point,NA,NA,51,105,2023-11-06
401597894,Toccoa Falls,Charleston Southern,NA,NA,59,94,2023-11-06
401597830,Washington and Lee,Davidson,NA,NA,63,86,2023-11-06
401597376,Delta State,SE Louisiana,NA,NA,71,90,2023-11-06
401594578,Brevard,Wofford,NA,NA,68,85,2023-11-06
401594560,Covenant,Chattanooga,NA,NA,44,89,2023-11-06
401594482,Delaware,Bucknell,NA,NA,78,57,2023-11-06
401594423,Saint Mary-Of-The-Woods College,Indiana State,NA,NA,60,90,2023-11-06
401594401,Penn State Wilkes-Barre,Norfolk State,NA,NA,55,102,2023-11-06
401594393,Holy Cross,Siena,NA,NA,71,73,2023-11-06
401594380,Immaculata,Rider,NA,NA,67,113,2023-11-06
401594169,Cleveland State,Duquesne,NA,NA,77,79,2023-11-06
401592849,South Carolina Upstate,South Carolina,NA,NA,53,82,2023-11-06
401591550,Hampton,Howard,NA,NA,80,92,2023-11-06
401588585,Chicago State,Bowling Green,NA,NA,41,70,2023-11-06
401587184,Vassar,Yale,NA,NA,53,102,2023-11-06
401587164,Princeton,Rutgers,NA,NA,68,61,2023-11-06
401586898,Central Connecticut,Rhode Island,NA,NA,70,81,2023-11-06
401584449,Carroll (MT),Utah Valley,NA,NA,73,81,2023-11-06
401584370,Mid-Atlantic Christian,Liberty,NA,NA,43,103,2023-11-06
401584335,Coastal Georgia,North Florida,NA,NA,55,92,2023-11-06
401583759,Winthrop,Clemson,NA,NA,56,78,2023-11-06
401583744,Monmouth,George Mason,NA,NA,61,72,2023-11-06
401583607,Ferrum,East Carolina,NA,NA,61,91,2023-11-06
401583589,The Citadel,NC State,NA,NA,59,72,2023-11-06
401582026,UMBC,Louisville,NA,NA,93,94,2023-11-06
401582011,Niagara,Notre Dame,NA,NA,63,70,2023-11-06
401581854,Virginia Wesleyan,Old Dominion,NA,NA,57,71,2023-11-06
401581845,Queens University,Marshall,NA,NA,73,89,2023-11-06
401581763,North Dakota State,Western Michigan,NA,NA,80,76,2023-11-06
401581736,Massachusetts-Boston,Harvard,NA,NA,50,78,2023-11-06
401581156,Columbia,Providence,NA,NA,59,78,2023-11-06
